fips,NAME,POP70,HHD70,POP80,HHD80,POP90,HHD90,POP00,HHD00,POP10,HHD10,2020-01-21,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05
13,Georgia,4583982,1367090,5457519,1869746,6477997,2366590,8186384,3006374,9687653,3585584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,7,11,17,22,31,31,41,65,97,118,142,193,282,482,552,620,800,1097,1387,1643,2198,2447,2683,3032,4117,4748,5444,5967,6383,6742,7558,9156,10204,10885,11859,12261,12103,13125,13913,14583,15644,16658,17014,17619,18447,19189,20099,20905,21575,22225,22459,23229,23607,24300,25431,26436,27268,27618,28350,28876
15,Hawaii,743601,199357,931792,287576,1108041,356249,1211523,403238,1360301,455338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,4,7,10,14,16,26,37,48,56,77,90,95,106,120,151,175,204,224,258,283,317,349,369,385,408,433,440,463,484,497,502,511,524,535,547,568,574,578,580,586,590,595,597,599,600,602,605,609,610,611,611,612,615
16,Idaho,707787,217515,917857,315902,1006739,360719,1293938,469643,1567582,579408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,9,11,23,31,42,47,50,73,123,189,231,261,310,415,526,669,891,1013,1077,1101,1170,1210,1232,1353,1397,1407,1426,1453,1464,1507,1528,1566,1577,1581,1638,1659,1688,1721,1750,1760,1768,1785,1810,1831,1861,1883,1908,1906,1947,1960
17,Illinois,11281149,3690147,11353735,4020464,11429587,4202209,12419324,4591794,12830632,4836972,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,4,4,5,6,6,7,11,19,25,32,46,66,94,104,159,286,420,583,751,1047,1285,1535,1875,2538,3029,3547,4613,5070,5994,6980,7695,8904,10357,11276,12262,13549,15078,16422,17887,19180,20852,22025,23247,24593,25734,27575,29160,30357,31508,33059,35108,36935,39658,41777,43903,45883,48102,50355,52918,56055,58505,61499,63840,65889
18,Indiana,5185645,1607451,5453652,1915438,5543737,2065335,6080490,2336295,6483802,2502154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,6,11,12,12,15,19,24,30,39,56,79,126,201,259,366,479,656,982,1232,1514,1788,2159,2565,3039,3437,3953,4411,4956,5507,5943,6351,6907,7435,7928,8236,8527,8955,9542,10154,10641,11210,11686,12097,12438,13039,13680,14395,15012,15961,16579,17168,17822,18630,19295,19933,20507,21033
19,Iowa,2800790,891044,2887273,1047065,2775506,1063872,2926335,1149269,3046355,1221576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8,13,14,16,17,18,22,22,29,38,44,45,68,90,105,124,145,179,235,298,336,424,498,549,614,699,786,868,946,1048,1145,1270,1388,1510,1587,1710,1899,1995,2141,2332,2513,2915,3175,3641,3764,3939,4459,5109,5491,5868,6376,6843,7145,7884,8641,9169,9703,10111
20,Kansas,2226711,721336,2338807,863364,2477521,944713,2688414,1037896,2853118,1112096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,5,6,8,9,11,17,22,35,49,57,66,82,99,132,171,212,271,332,373,434,488,554,624,701,763,853,905,1055,1116,1180,1283,1338,1383,1439,1502,1594,1731,1820,1898,2031,2115,2292,2615,2830,3081,3188,3393,3587,3799,4291,4486,4838,5156,5365,5603
21,Kentucky,3154685,963783,3568471,1231767,3684185,1379351,4041767,1590646,4339367,1719965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,7,7,11,11,18,21,22,26,35,47,63,84,103,124,157,198,248,302,394,439,480,590,674,747,762,909,1048,1057,1289,1393,1525,1702,1851,1963,2048,2210,2295,2429,2522,2707,2960,3050,3193,3373,3548,3779,3905,4074,4146,4375,4538,4708,4879,4881,5222,5363,5822
22,Louisiana,3625346,1048665,4165216,1400293,4210278,1498308,4468774,1655949,4533372,1728360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,13,14,36,77,103,137,196,280,392,537,763,837,1172,1388,1795,2305,2746,3315,3540,4025,5237,6424,9150,10297,12496,13010,14867,16284,17030,18283,19253,20014,20595,21016,21518,21951,22532,23118,23580,23928,24523,24854,25258,25739,26140,26512,26773,27068,27286,27660,28001,28711,29140,29340,29673,29996
23,Maine,961311,293990,1121387,394660,1227919,465305,1274930,518205,1328361,557219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,12,17,32,43,52,57,70,89,107,118,142,155,168,211,253,275,303,344,376,432,456,470,499,519,537,560,586,616,633,698,734,770,796,827,847,867,875,888,907,937,965,990,1015,1023,1040,1056,1095,1123,1152,1185,1205,1226
